Rule: {40} -> {48} (Support: 1540, Confidence: 0.82)
Rule: {9} -> {48} (Support: 1133, Confidence: 0.85)
Rule: {13} -> {81} (Support: 1100, Confidence: 0.81)
Rule: {34} -> {48} (Support: 1329, Confidence: 0.80)
Rule: {13} -> {79} (Support: 1131, Confidence: 0.83)
Rule: {33} -> {51} (Support: 1703, Confidence: 0.87)
Rule: {70} -> {48} (Support: 1547, Confidence: 0.82)
Rule: {33} -> {48} (Support: 1681, Confidence: 0.86)
Rule: {13} -> {48} (Support: 1157, Confidence: 0.85)
Rule: {57} -> {59} (Support: 1591, Confidence: 0.81)
Rule: {36} -> {48} (Support: 2067, Confidence: 0.82)
Rule: {33} -> {69} (Support: 1634, Confidence: 0.83)
Rule: {57} -> {79} (Support: 1604, Confidence: 0.82)
Rule: {13} -> {69} (Support: 1177, Confidence: 0.87)
Rule: {57} -> {48} (Support: 1645, Confidence: 0.84)
Rule: {40} -> {69} (Support: 1565, Confidence: 0.84)
Rule: {36} -> {66} (Support: 2173, Confidence: 0.86)
Rule: {51} -> {48} (Support: 2972, Confidence: 0.80)
Rule: {33} -> {79} (Support: 1568, Confidence: 0.80)
Rule: {57} -> {69} (Support: 1636, Confidence: 0.83)
Rule: {53, 63} -> {59} (Support: 1295, Confidence: 0.83)
Rule: {40, 51} -> {76} (Support: 1118, Confidence: 0.84)
Rule: {40, 76} -> {51} (Support: 1118, Confidence: 0.82)
Rule: {66, 47} -> {79} (Support: 1756, Confidence: 0.83)
Rule: {36, 47} -> {66} (Support: 1391, Confidence: 0.93)
Rule: {51, 47} -> {59} (Support: 1841, Confidence: 0.85)
Rule: {51, 4} -> {69} (Support: 1749, Confidence: 0.90)
Rule: {33, 47} -> {51} (Support: 1110, Confidence: 0.91)
Rule: {66, 69} -> {79} (Support: 2206, Confidence: 0.81)
Rule: {66, 79} -> {69} (Support: 2206, Confidence: 0.81)
Rule: {36, 69} -> {66} (Support: 1727, Confidence: 0.91)
Rule: {66, 59} -> {79} (Support: 2108, Confidence: 0.84)
Rule: {4, 38} -> {48} (Support: 1480, Confidence: 0.89)
Rule: {66, 76} -> {69} (Support: 2050, Confidence: 0.84)
Rule: {51, 76} -> {81} (Support: 1965, Confidence: 0.80)
Rule: {66, 54} -> {79} (Support: 1752, Confidence: 0.83)
Rule: {73, 76} -> {48} (Support: 1643, Confidence: 0.80)
Rule: {58, 76} -> {60} (Support: 1341, Confidence: 0.80)
Rule: {66, 21} -> {62} (Support: 1105, Confidence: 0.88)
Rule: {21, 62} -> {66} (Support: 1105, Confidence: 0.83)
Rule: {66, 4} -> {81} (Support: 1604, Confidence: 0.81)
Rule: {41, 59} -> {48} (Support: 1675, Confidence: 0.83)
Rule: {66, 4} -> {76} (Support: 1578, Confidence: 0.80)
Rule: {51, 4} -> {79} (Support: 1624, Confidence: 0.84)
Rule: {60, 62} -> {48} (Support: 2400, Confidence: 0.80)
Rule: {4, 63} -> {48} (Support: 1592, Confidence: 0.86)
Rule: {69, 47} -> {48} (Support: 2286, Confidence: 0.85)
Rule: {61, 62} -> {66} (Support: 1404, Confidence: 0.81)
Rule: {59, 84} -> {79} (Support: 1282, Confidence: 0.84)
Rule: {73, 62} -> {48} (Support: 1671, Confidence: 0.83)
Rule: {51, 70} -> {59} (Support: 1140, Confidence: 0.90)
Rule: {41, 47} -> {79} (Support: 1400, Confidence: 0.80)
Rule: {51, 55} -> {76} (Support: 1578, Confidence: 0.83)
Rule: {58, 59} -> {79} (Support: 1484, Confidence: 0.84)
Rule: {59, 53} -> {60} (Support: 1609, Confidence: 0.81)
Rule: {60, 53} -> {59} (Support: 1609, Confidence: 0.81)
Rule: {66, 38} -> {59} (Support: 1562, Confidence: 0.82)
Rule: {75, 55} -> {79} (Support: 1217, Confidence: 0.87)
Rule: {4, 36} -> {48} (Support: 1330, Confidence: 0.91)
Rule: {41, 4} -> {79} (Support: 1370, Confidence: 0.81)
Rule: {57, 4} -> {69} (Support: 1158, Confidence: 0.94)
Rule: {40, 62} -> {79} (Support: 1234, Confidence: 0.84)
Rule: {40, 79} -> {62} (Support: 1234, Confidence: 0.84)
Rule: {76, 47} -> {79} (Support: 2109, Confidence: 0.81)
Rule: {57, 55} -> {62} (Support: 1107, Confidence: 0.87)
Rule: {73, 55} -> {79} (Support: 1107, Confidence: 0.81)
Rule: {4, 36} -> {76} (Support: 1206, Confidence: 0.82)
Rule: {81, 57} -> {76} (Support: 1230, Confidence: 0.82)
Rule: {57, 76} -> {81} (Support: 1230, Confidence: 0.83)
Rule: {76, 38} -> {48} (Support: 1770, Confidence: 0.86)
Rule: {81, 21} -> {59} (Support: 1104, Confidence: 0.81)
Rule: {59, 21} -> {81} (Support: 1104, Confidence: 0.83)
Rule: {59, 38} -> {69} (Support: 1750, Confidence: 0.86)
Rule: {33, 54} -> {62} (Support: 1129, Confidence: 0.84)
Rule: {41, 59} -> {69} (Support: 1715, Confidence: 0.85)
Rule: {4, 76} -> {62} (Support: 1709, Confidence: 0.81)
Rule: {41, 55} -> {69} (Support: 1331, Confidence: 0.90)
Rule: {41, 38} -> {79} (Support: 1313, Confidence: 0.83)
Rule: {66, 47} -> {48} (Support: 1883, Confidence: 0.89)
